epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,34.9321,0.52606,4.65691,1.23392,0.0019,1,0.53173,0.42076,0.39617,3.9809,1.11805,0.00014,0.00014,0.00014
2,66.7961,0.36262,4.13426,1.07137,0.0019,1,0.71444,0.56128,0.56182,3.98322,1.37794,0.0002703,0.0002703,0.0002703
3,99.3133,0.3266,3.11895,1.05276,0.0019,1,0.50585,0.42444,0.70364,4.19136,1.57637,0.00036892,0.00036892,0.00036892
4,131.626,0.40061,2.95307,1.07338,0.00427,0.94571,0.66892,0.52418,0.59808,4.10201,1.30864,0.00043586,0.00043586,0.00043586
5,159.905,0.41217,2.81401,1.08616,0.0019,1,0.72401,0.63031,0.50927,4.02771,1.10604,0.00047112,0.00047112,0.00047112
6,186.81,0.35118,2.46752,0.96529,1,0.50505,0.83392,0.70076,0.54023,3.89774,1.10318,0.0004747,0.0004747,0.0004747
7,213.817,0.38449,2.56081,1.03017,0.983,0.875,0.89346,0.78288,0.49125,3.64287,1.11971,0.0004466,0.0004466,0.0004466
8,240.605,0.33569,2.31914,0.97733,0.92448,0.625,0.87375,0.7416,0.46875,3.53742,1.10063,0.00038682,0.00038682,0.00038682
9,267.268,0.28743,2.2419,0.96021,1,0.75922,0.995,0.91791,0.42969,3.54968,1.04486,0.00029536,0.00029536,0.00029536
10,293.956,0.25389,2.06059,0.91625,1,0.86414,0.995,0.90579,0.40675,3.39636,1.03758,0.00017222,0.00017222,0.00017222
